date,demand,net_generation,total_interchange,ng_nuclear,ng_hydro,ng_solar,ng_wind,ng_natural_gas,temperature_2m,temp_max,temp_min,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,rain,snowfall,snow_depth,cloud_cover,wind_speed_10m,wind_gusts_10m,weather_code,year,NYNGSP,NYPOP,is_holiday,month,day_of_month,day_of_week,week_of_year,quarter,is_weekend,demand_lag_3d,demand_lag_4d,demand_lag_5d,demand_lag_6d,demand_lag_7d,demand_lag_14d,demand_lag_21d,demand_lag_28d,demand_roll_mean_7d,demand_roll_std_7d,demand_roll_mean_30d,demand_roll_min_30d,demand_roll_max_30d,temperature_2m_lag_1d,temperature_2m_lag_2d,apparent_temperature_lag_1d,apparent_temperature_lag_2d,relative_humidity_2m_lag_1d,relative_humidity_2m_lag_2d,dew_point_2m_lag_1d,dew_point_2m_lag_2d,target_day1,target_day2,target_day3
2019-10-05,344548.0,289888.0,-54660.0,5202.125,2717.7916666666665,0.0,295.7916666666667,2819.0416666666665,10.991666666666667,14.4,7.5,8.095833333333333,61.583333333333336,3.6833333333333336,0.0,0.0,0.0,0.0,11.875,10.945833333333333,30.6,3.0,2019,1710665.6,19544098,0,10,5,5,40,4,1,478401.0,434392.0,398500.0,396508.0,401556.0,390051.0,386589.0,368621.0,419980.0,29886.58389645493,423041.63333333336,368621.0,497681.0,15.329166666666666,14.375,12.9375,12.675,72.41666666666667,87.5,9.954166666666667,12.295833333333334,357123.0,404341.0,381932.0
2019-10-06,357123.0,313091.0,-44032.0,5015.791666666667,2822.833333333333,0.0,1040.5416666666667,3068.75,17.8875,21.1,13.1,16.579166666666666,73.75,13.108333333333334,2.1,2.1,0.0,0.0,91.0,16.316666666666666,40.0,53.0,2019,1710665.6,19544098,0,10,6,6,40,4,1,400963.0,478401.0,434392.0,398500.0,396508.0,421298.0,407893.0,375515.0,416070.5714285714,30397.923305474946,421051.4,368621.0,497681.0,10.991666666666667,15.329166666666666,8.095833333333333,12.9375,61.583333333333336,72.41666666666667,3.6833333333333336,9.954166666666667,404341.0,381932.0,375720.0
2019-10-07,404341.0,344091.0,-60250.0,5075.25,3174.833333333333,0.0,336.4583333333333,4638.125,20.966666666666665,25.3,15.7,20.454166666666666,75.91666666666667,16.354166666666668,4.6,4.6,0.0,0.0,96.45833333333331,18.633333333333333,51.1,61.0,2019,1710665.6,19544098,0,10,7,0,41,4,0,381082.0,400963.0,478401.0,434392.0,398500.0,494561.0,437030.0,421382.0,413057.4285714286,32943.72644301476,417546.6,368621.0,497681.0,17.8875,10.991666666666667,16.579166666666666,8.095833333333333,73.75,61.583333333333336,13.108333333333334,3.6833333333333336,381932.0,375720.0,374263.0
2019-10-08,381932.0,337343.0,-44589.0,5066.666666666667,3203.1666666666665,0.0,143.41666666666666,4538.25,15.925,18.5,14.4,13.866666666666667,72.54166666666667,10.716666666666669,2.1,2.1,0.0,0.0,94.375,15.9625,35.3,53.0,2019,1710665.6,19544098,0,10,8,1,41,4,0,344548.0,381082.0,400963.0,478401.0,434392.0,441976.0,412239.0,438305.0,404913.4285714286,42049.019932520285,414437.6,344548.0,497681.0,20.966666666666665,17.8875,20.454166666666666,16.579166666666666,75.91666666666667,73.75,16.354166666666668,13.108333333333334,375720.0,374263.0,373078.0
2019-10-09,375720.0,327918.0,-47802.0,5075.666666666667,3007.208333333333,0.0,227.625,4248.916666666667,13.125,14.4,11.6,10.05,79.79166666666667,9.604166666666666,13.3,13.3,0.0,0.0,93.70833333333331,20.445833333333333,41.0,63.0,2019,1710665.6,19544098,0,10,9,2,41,4,0,357123.0,344548.0,381082.0,400963.0,478401.0,417045.0,395439.0,497681.0,399287.0,45826.4796233184,412757.0,344548.0,497681.0,15.925,20.966666666666665,13.866666666666667,20.454166666666666,72.54166666666667,75.91666666666667,10.716666666666669,16.354166666666668,374263.0,373078.0,346998.0
2019-10-10,374263.0,325944.0,-48319.0,5233.791666666667,2853.25,0.0,175.625,4211.208333333333,15.183333333333332,20.2,11.2,11.4625,63.625,7.5625,0.6,0.6,0.0,0.0,59.91666666666666,21.754166666666663,45.7,51.0,2019,1710665.6,19544098,0,10,10,3,41,4,0,404341.0,357123.0,344548.0,381082.0,400963.0,428329.0,384095.0,475662.0,400121.4285714286,45862.9244919263,413947.6666666667,344548.0,497681.0,13.125,15.925,10.05,13.866666666666667,79.79166666666667,72.54166666666667,9.604166666666666,10.716666666666669,373078.0,346998.0,337334.0
2019-10-11,373078.0,327344.0,-45734.0,5243.041666666667,3208.1666666666665,0.0,327.6666666666667,3807.6666666666665,14.4625,17.1,11.8,10.016666666666667,55.54166666666666,5.616666666666667,0.0,0.0,0.0,0.0,60.583333333333336,23.225,47.9,3.0,2019,1710665.6,19544098,0,10,11,4,41,4,0,381932.0,404341.0,357123.0,344548.0,381082.0,402174.0,392523.0,401229.0,392627.1428571429,43557.77786430239,414161.56666666665,344548.0,497681.0,15.183333333333332,13.125,11.4625,10.05,63.625,79.79166666666667,7.5625,9.604166666666666,346998.0,337334.0,374261.0
2019-10-12,346998.0,321327.0,-25671.0,5265.291666666667,2870.75,0.0,478.0833333333333,3794.4166666666665,15.091666666666669,20.0,11.1,13.5375,68.625,9.320833333333333,0.0,0.0,0.0,0.0,46.583333333333336,9.758333333333333,31.7,3.0,2019,1710665.6,19544098,0,10,12,5,41,4,1,375720.0,381932.0,404341.0,357123.0,344548.0,401556.0,390051.0,386589.0,377958.4285714286,21626.29084283077,412639.5,344548.0,497681.0,14.4625,15.183333333333332,10.016666666666667,11.4625,55.54166666666666,63.625,5.616666666666667,7.5625,337334.0,374261.0,373200.0
2019-10-13,337334.0,304193.0,-33141.0,5167.625,2766.458333333333,0.0,568.125,3663.5,14.370833333333332,17.7,10.4,13.104166666666666,76.0,10.0,0.1,0.1,0.0,0.0,55.5,8.979166666666666,25.6,51.0,2019,1710665.6,19544098,0,10,13,6,41,4,1,374263.0,375720.0,381932.0,404341.0,357123.0,396508.0,421298.0,407893.0,374144.1428571429,19099.66487862635,410504.76666666666,344548.0,497681.0,15.091666666666669,14.4625,13.5375,10.016666666666667,68.625,55.54166666666666,9.320833333333333,5.616666666666667,374261.0,373200.0,387354.0
2019-10-14,374261.0,332945.0,-41316.0,5255.791666666667,3042.9166666666665,0.0,514.125,4560.625,16.529166666666665,22.3,11.9,15.595833333333331,71.29166666666667,10.6,0.2,0.2,0.0,0.0,33.041666666666664,8.495833333333334,31.7,51.0,2019,1710665.6,19544098,1,10,14,0,42,4,0,373078.0,374263.0,375720.0,381932.0,404341.0,398500.0,494561.0,437030.0,373000.7142857143,18853.089876845108,406351.3333333333,344548.0,494561.0,14.370833333333332,15.091666666666669,13.104166666666666,13.5375,76.0,68.625,10.0,9.320833333333333,373200.0,387354.0,383721.0
